,dept_name,color_name,error_message
0,Blazers,Navy,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@data-test-id=""Product__Counter""]""}
  (Session info: MicrosoftEdge=118.0.2088.76); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   msedgedriver                        0x00000001044f55e8 msedgedriver + 4658664
1   msedgedriver                        0x00000001044ed2ac msedgedriver + 4625068
2   msedgedriver                        0x00000001040c63dc msedgedriver + 271324
3   msedgedriver                        0x000000010410897c msedgedriver + 543100
4   msedgedriver                        0x0000000104140544 msedgedriver + 771396
5   msedgedriver                        0x00000001040fdea0 msedgedriver + 499360
6   msedgedriver                        0x00000001040fee90 msedgedriver + 503440
7   msedgedriver                        0x00000001044b7258 msedgedriver + 4403800
8   msedgedriver                        0x00000001044bb500 msedgedriver + 4420864
9   msedgedriver                        0x00000001044bb958 msedgedriver + 4421976
10  msedgedriver                        0x00000001044c2094 msedgedriver + 4448404
11  msedgedriver                        0x00000001044bbfa0 msedgedriver + 4423584
12  msedgedriver                        0x0000000104492c18 msedgedriver + 4254744
13  msedgedriver                        0x00000001044dad74 msedgedriver + 4550004
14  msedgedriver                        0x00000001044daec4 msedgedriver + 4550340
15  msedgedriver                        0x00000001044ec3d0 msedgedriver + 4621264
16  libsystem_pthread.dylib             0x000000018d823fa8 _pthread_start + 148
17  libsystem_pthread.dylib             0x000000018d81eda0 thread_start + 8
"
1,Blazers,Brown,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@data-test-id=""Product__Counter""]""}
  (Session info: MicrosoftEdge=118.0.2088.76); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   msedgedriver                        0x0000000102c955e8 msedgedriver + 4658664
1   msedgedriver                        0x0000000102c8d2ac msedgedriver + 4625068
2   msedgedriver                        0x00000001028663dc msedgedriver + 271324
3   msedgedriver                        0x00000001028a897c msedgedriver + 543100
4   msedgedriver                        0x00000001028e0544 msedgedriver + 771396
5   msedgedriver                        0x000000010289dea0 msedgedriver + 499360
6   msedgedriver                        0x000000010289ee90 msedgedriver + 503440
7   msedgedriver                        0x0000000102c57258 msedgedriver + 4403800
8   msedgedriver                        0x0000000102c5b500 msedgedriver + 4420864
9   msedgedriver                        0x0000000102c5b958 msedgedriver + 4421976
10  msedgedriver                        0x0000000102c62094 msedgedriver + 4448404
11  msedgedriver                        0x0000000102c5bfa0 msedgedriver + 4423584
12  msedgedriver                        0x0000000102c32c18 msedgedriver + 4254744
13  msedgedriver                        0x0000000102c7ad74 msedgedriver + 4550004
14  msedgedriver                        0x0000000102c7aec4 msedgedriver + 4550340
15  msedgedriver                        0x0000000102c8c3d0 msedgedriver + 4621264
16  libsystem_pthread.dylib             0x000000018d823fa8 _pthread_start + 148
17  libsystem_pthread.dylib             0x000000018d81eda0 thread_start + 8
"
2,Blazers,N/A,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@data-test-id=""Product__Counter""]""}
  (Session info: MicrosoftEdge=118.0.2088.76); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   msedgedriver                        0x000000010470d5e8 msedgedriver + 4658664
1   msedgedriver                        0x00000001047052ac msedgedriver + 4625068
2   msedgedriver                        0x00000001042de3dc msedgedriver + 271324
3   msedgedriver                        0x000000010432097c msedgedriver + 543100
4   msedgedriver                        0x0000000104358544 msedgedriver + 771396
5   msedgedriver                        0x0000000104315ea0 msedgedriver + 499360
6   msedgedriver                        0x0000000104316e90 msedgedriver + 503440
7   msedgedriver                        0x00000001046cf258 msedgedriver + 4403800
8   msedgedriver                        0x00000001046d3500 msedgedriver + 4420864
9   msedgedriver                        0x00000001046d3958 msedgedriver + 4421976
10  msedgedriver                        0x00000001046da094 msedgedriver + 4448404
11  msedgedriver                        0x00000001046d3fa0 msedgedriver + 4423584
12  msedgedriver                        0x00000001046aac18 msedgedriver + 4254744
13  msedgedriver                        0x00000001046f2d74 msedgedriver + 4550004
14  msedgedriver                        0x00000001046f2ec4 msedgedriver + 4550340
15  msedgedriver                        0x00000001047043d0 msedgedriver + 4621264
16  libsystem_pthread.dylib             0x000000018d823fa8 _pthread_start + 148
17  libsystem_pthread.dylib             0x000000018d81eda0 thread_start + 8
"
3,Blazers,Gold,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@data-test-id=""Product__Counter""]""}
  (Session info: MicrosoftEdge=118.0.2088.76); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   msedgedriver                        0x00000001052bd5e8 msedgedriver + 4658664
1   msedgedriver                        0x00000001052b52ac msedgedriver + 4625068
2   msedgedriver                        0x0000000104e8e3dc msedgedriver + 271324
3   msedgedriver                        0x0000000104ed097c msedgedriver + 543100
4   msedgedriver                        0x0000000104f08544 msedgedriver + 771396
5   msedgedriver                        0x0000000104ec5ea0 msedgedriver + 499360
6   msedgedriver                        0x0000000104ec6e90 msedgedriver + 503440
7   msedgedriver                        0x000000010527f258 msedgedriver + 4403800
8   msedgedriver                        0x0000000105283500 msedgedriver + 4420864
9   msedgedriver                        0x0000000105283958 msedgedriver + 4421976
10  msedgedriver                        0x000000010528a094 msedgedriver + 4448404
11  msedgedriver                        0x0000000105283fa0 msedgedriver + 4423584
12  msedgedriver                        0x000000010525ac18 msedgedriver + 4254744
13  msedgedriver                        0x00000001052a2d74 msedgedriver + 4550004
14  msedgedriver                        0x00000001052a2ec4 msedgedriver + 4550340
15  msedgedriver                        0x00000001052b43d0 msedgedriver + 4621264
16  libsystem_pthread.dylib             0x000000018d823fa8 _pthread_start + 148
17  libsystem_pthread.dylib             0x000000018d81eda0 thread_start + 8
"
4,Blazers,Neutrals,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@data-test-id=""Product__Counter""]""}
  (Session info: MicrosoftEdge=118.0.2088.76); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   msedgedriver                        0x00000001044d55e8 msedgedriver + 4658664
1   msedgedriver                        0x00000001044cd2ac msedgedriver + 4625068
2   msedgedriver                        0x00000001040a63dc msedgedriver + 271324
3   msedgedriver                        0x00000001040e897c msedgedriver + 543100
4   msedgedriver                        0x0000000104120544 msedgedriver + 771396
5   msedgedriver                        0x00000001040ddea0 msedgedriver + 499360
6   msedgedriver                        0x00000001040dee90 msedgedriver + 503440
7   msedgedriver                        0x0000000104497258 msedgedriver + 4403800
8   msedgedriver                        0x000000010449b500 msedgedriver + 4420864
9   msedgedriver                        0x000000010449b958 msedgedriver + 4421976
10  msedgedriver                        0x00000001044a2094 msedgedriver + 4448404
11  msedgedriver                        0x000000010449bfa0 msedgedriver + 4423584
12  msedgedriver                        0x0000000104472c18 msedgedriver + 4254744
13  msedgedriver                        0x00000001044bad74 msedgedriver + 4550004
14  msedgedriver                        0x00000001044baec4 msedgedriver + 4550340
15  msedgedriver                        0x00000001044cc3d0 msedgedriver + 4621264
16  libsystem_pthread.dylib             0x000000018d823fa8 _pthread_start + 148
17  libsystem_pthread.dylib             0x000000018d81eda0 thread_start + 8
"
5,Blazers,Burgundy,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@data-test-id=""Product__Counter""]""}
  (Session info: MicrosoftEdge=118.0.2088.76); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   msedgedriver                        0x0000000104f7d5e8 msedgedriver + 4658664
1   msedgedriver                        0x0000000104f752ac msedgedriver + 4625068
2   msedgedriver                        0x0000000104b4e3dc msedgedriver + 271324
3   msedgedriver                        0x0000000104b9097c msedgedriver + 543100
4   msedgedriver                        0x0000000104bc8544 msedgedriver + 771396
5   msedgedriver                        0x0000000104b85ea0 msedgedriver + 499360
6   msedgedriver                        0x0000000104b86e90 msedgedriver + 503440
7   msedgedriver                        0x0000000104f3f258 msedgedriver + 4403800
8   msedgedriver                        0x0000000104f43500 msedgedriver + 4420864
9   msedgedriver                        0x0000000104f43958 msedgedriver + 4421976
10  msedgedriver                        0x0000000104f4a094 msedgedriver + 4448404
11  msedgedriver                        0x0000000104f43fa0 msedgedriver + 4423584
12  msedgedriver                        0x0000000104f1ac18 msedgedriver + 4254744
13  msedgedriver                        0x0000000104f62d74 msedgedriver + 4550004
14  msedgedriver                        0x0000000104f62ec4 msedgedriver + 4550340
15  msedgedriver                        0x0000000104f743d0 msedgedriver + 4621264
16  libsystem_pthread.dylib             0x000000018d823fa8 _pthread_start + 148
17  libsystem_pthread.dylib             0x000000018d81eda0 thread_start + 8
"
6,Blazers,Orange,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@data-test-id=""Product__Counter""]""}
  (Session info: MicrosoftEdge=118.0.2088.76); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   msedgedriver                        0x0000000102d795e8 msedgedriver + 4658664
1   msedgedriver                        0x0000000102d712ac msedgedriver + 4625068
2   msedgedriver                        0x000000010294a3dc msedgedriver + 271324
3   msedgedriver                        0x000000010298c97c msedgedriver + 543100
4   msedgedriver                        0x00000001029c4544 msedgedriver + 771396
5   msedgedriver                        0x0000000102981ea0 msedgedriver + 499360
6   msedgedriver                        0x0000000102982e90 msedgedriver + 503440
7   msedgedriver                        0x0000000102d3b258 msedgedriver + 4403800
8   msedgedriver                        0x0000000102d3f500 msedgedriver + 4420864
9   msedgedriver                        0x0000000102d3f958 msedgedriver + 4421976
10  msedgedriver                        0x0000000102d46094 msedgedriver + 4448404
11  msedgedriver                        0x0000000102d3ffa0 msedgedriver + 4423584
12  msedgedriver                        0x0000000102d16c18 msedgedriver + 4254744
13  msedgedriver                        0x0000000102d5ed74 msedgedriver + 4550004
14  msedgedriver                        0x0000000102d5eec4 msedgedriver + 4550340
15  msedgedriver                        0x0000000102d703d0 msedgedriver + 4621264
16  libsystem_pthread.dylib             0x000000018d823fa8 _pthread_start + 148
17  libsystem_pthread.dylib             0x000000018d81eda0 thread_start + 8
"
7,Blazers,Purple,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@data-test-id=""Product__Counter""]""}
  (Session info: MicrosoftEdge=118.0.2088.76); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   msedgedriver                        0x0000000102a295e8 msedgedriver + 4658664
1   msedgedriver                        0x0000000102a212ac msedgedriver + 4625068
2   msedgedriver                        0x00000001025fa3dc msedgedriver + 271324
3   msedgedriver                        0x000000010263c97c msedgedriver + 543100
4   msedgedriver                        0x0000000102674544 msedgedriver + 771396
5   msedgedriver                        0x0000000102631ea0 msedgedriver + 499360
6   msedgedriver                        0x0000000102632e90 msedgedriver + 503440
7   msedgedriver                        0x00000001029eb258 msedgedriver + 4403800
8   msedgedriver                        0x00000001029ef500 msedgedriver + 4420864
9   msedgedriver                        0x00000001029ef958 msedgedriver + 4421976
10  msedgedriver                        0x00000001029f6094 msedgedriver + 4448404
11  msedgedriver                        0x00000001029effa0 msedgedriver + 4423584
12  msedgedriver                        0x00000001029c6c18 msedgedriver + 4254744
13  msedgedriver                        0x0000000102a0ed74 msedgedriver + 4550004
14  msedgedriver                        0x0000000102a0eec4 msedgedriver + 4550340
15  msedgedriver                        0x0000000102a203d0 msedgedriver + 4621264
16  libsystem_pthread.dylib             0x000000018d823fa8 _pthread_start + 148
17  libsystem_pthread.dylib             0x000000018d81eda0 thread_start + 8
"
8,Blazers,Silver,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@data-test-id=""Product__Counter""]""}
  (Session info: MicrosoftEdge=118.0.2088.76); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   msedgedriver                        0x0000000102ead5e8 msedgedriver + 4658664
1   msedgedriver                        0x0000000102ea52ac msedgedriver + 4625068
2   msedgedriver                        0x0000000102a7e3dc msedgedriver + 271324
3   msedgedriver                        0x0000000102ac097c msedgedriver + 543100
4   msedgedriver                        0x0000000102af8544 msedgedriver + 771396
5   msedgedriver                        0x0000000102ab5ea0 msedgedriver + 499360
6   msedgedriver                        0x0000000102ab6e90 msedgedriver + 503440
7   msedgedriver                        0x0000000102e6f258 msedgedriver + 4403800
8   msedgedriver                        0x0000000102e73500 msedgedriver + 4420864
9   msedgedriver                        0x0000000102e73958 msedgedriver + 4421976
10  msedgedriver                        0x0000000102e7a094 msedgedriver + 4448404
11  msedgedriver                        0x0000000102e73fa0 msedgedriver + 4423584
12  msedgedriver                        0x0000000102e4ac18 msedgedriver + 4254744
13  msedgedriver                        0x0000000102e92d74 msedgedriver + 4550004
14  msedgedriver                        0x0000000102e92ec4 msedgedriver + 4550340
15  msedgedriver                        0x0000000102ea43d0 msedgedriver + 4621264
16  libsystem_pthread.dylib             0x000000018d823fa8 _pthread_start + 148
17  libsystem_pthread.dylib             0x000000018d81eda0 thread_start + 8
"
9,Blazers,Pink,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@data-test-id=""Product__Counter""]""}
  (Session info: MicrosoftEdge=118.0.2088.76); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   msedgedriver                        0x0000000100c955e8 msedgedriver + 4658664
1   msedgedriver                        0x0000000100c8d2ac msedgedriver + 4625068
2   msedgedriver                        0x00000001008663dc msedgedriver + 271324
3   msedgedriver                        0x00000001008a897c msedgedriver + 543100
4   msedgedriver                        0x00000001008e0544 msedgedriver + 771396
5   msedgedriver                        0x000000010089dea0 msedgedriver + 499360
6   msedgedriver                        0x000000010089ee90 msedgedriver + 503440
7   msedgedriver                        0x0000000100c57258 msedgedriver + 4403800
8   msedgedriver                        0x0000000100c5b500 msedgedriver + 4420864
9   msedgedriver                        0x0000000100c5b958 msedgedriver + 4421976
10  msedgedriver                        0x0000000100c62094 msedgedriver + 4448404
11  msedgedriver                        0x0000000100c5bfa0 msedgedriver + 4423584
12  msedgedriver                        0x0000000100c32c18 msedgedriver + 4254744
13  msedgedriver                        0x0000000100c7ad74 msedgedriver + 4550004
14  msedgedriver                        0x0000000100c7aec4 msedgedriver + 4550340
15  msedgedriver                        0x0000000100c8c3d0 msedgedriver + 4621264
16  libsystem_pthread.dylib             0x000000018d823fa8 _pthread_start + 148
17  libsystem_pthread.dylib             0x000000018d81eda0 thread_start + 8
"
